Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,0.58756,0.599556,0.58756,0.599556,0.599556,105306
1970-01-05,0.599556,0.612236,0.599556,0.605993,0.605993,224377
1970-01-06,0.605993,0.605993,0.59351,0.59351,0.59351,110753
1970-01-07,0.59351,0.599556,0.58756,0.59351,0.59351,90264
1970-01-08,0.599556,0.612236,0.599556,0.605993,0.605993,127072
1970-01-09,0.605993,0.605993,0.605993,0.605993,0.605993,103069
1970-01-12,0.605993,0.612236,0.599556,0.605993,0.605993,66896
1970-01-13,0.605993,0.605993,0.59351,0.59351,0.59351,74578
1970-01-14,0.59351,0.59351,0.574685,0.581414,0.581414,225024
1970-01-15,0.581414,0.581414,0.574685,0.581414,0.581414,67215
1970-01-16,0.581414,0.581414,0.574685,0.581414,0.581414,85145
1970-01-19,0.581414,0.581414,0.574685,0.574685,0.574685,101791
1970-01-20,0.574685,0.574685,0.56854,0.56854,0.56854,117792
1970-01-21,0.56854,0.574685,0.562297,0.56854,0.56854,90909
1970-01-22,0.56854,0.574685,0.562297,0.56854,0.56854,128038
1970-01-23,0.56854,0.56854,0.562297,0.562297,0.562297,85465
1970-01-26,0.562297,0.562297,0.549716,0.562297,0.562297,146603
1970-01-27,0.562297,0.562297,0.543376,0.562297,0.562297,108186
1970-01-28,0.562297,0.562297,0.537231,0.537231,0.537231,99865
1970-01-29,0.537231,0.543376,0.530989,0.537231,0.537231,139238
1970-01-30,0.537231,0.543376,0.524843,0.530989,0.530989,163560
1970-02-02,0.530989,0.537231,0.524843,0.530989,0.530989,187573
1970-02-03,0.530989,0.530989,0.524843,0.524843,0.524843,394349
1970-02-04,0.530989,0.537231,0.530989,0.537231,0.537231,106906
1970-02-05,0.537231,0.537231,0.530989,0.537231,0.537231,67541
1970-02-06,0.537231,0.537231,0.530989,0.537231,0.537231,54412
1970-02-09,0.537231,0.537231,0.530989,0.530989,0.530989,111711
1970-02-10,0.530989,0.537231,0.50602,0.50602,0.50602,199412
1970-02-11,0.50602,0.5187,0.49968,0.5187,0.5187,175726
1970-02-12,0.5187,0.524843,0.50602,0.50602,0.50602,163242
1970-02-13,0.50602,0.5187,0.49968,0.50602,0.50602,98583
1970-02-16,0.50602,0.512457,0.50602,0.512457,0.512457,97627
1970-02-17,0.512457,0.5187,0.50602,0.512457,0.512457,90264
1970-02-18,0.512457,0.524843,0.512457,0.524843,0.524843,205814
1970-02-19,0.524843,0.537231,0.524843,0.530989,0.530989,164845
1970-02-20,0.530989,0.537231,0.530989,0.537231,0.537231,233339
1970-02-24,0.537231,0.537231,0.530989,0.537231,0.537231,208695
1970-02-25,0.543376,0.562297,0.543376,0.562297,0.562297,118749
1970-02-26,0.562297,0.56854,0.555957,0.562297,0.562297,172523
1970-02-27,0.562297,0.56854,0.562297,0.562297,0.562297,249353
