Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,0.531514,0.531514,0.517198,0.517198,0.517198,1686401
1970-01-05,0.517198,0.517198,0.502879,0.502879,0.502879,1361308
1970-01-06,0.502879,0.510823,0.502879,0.510823,0.510823,1462898
1970-01-07,0.510823,0.517198,0.510823,0.510823,0.510823,467314
1970-01-08,0.510823,0.517198,0.510823,0.517198,0.517198,650174
1970-01-09,0.517198,0.524846,0.517198,0.517198,0.517198,1056539
1970-01-12,0.517198,0.517198,0.510823,0.510823,0.510823,1219085
1970-01-13,0.510823,0.517198,0.510823,0.510823,0.510823,1198770
1970-01-14,0.510823,0.524846,0.510823,0.517198,0.517198,873676
1970-01-15,0.517198,0.524846,0.517198,0.524846,0.524846,1706714
1970-01-16,0.524846,0.524846,0.517198,0.517198,0.517198,1036224
1970-01-19,0.517198,0.517198,0.510823,0.517198,0.517198,1666082
1970-01-20,0.517198,0.517198,0.502879,0.517198,0.517198,1076856
1970-01-21,0.517198,0.517198,0.510823,0.517198,0.517198,1239402
1970-01-22,0.517198,0.517198,0.510823,0.517198,0.517198,507957
1970-01-23,0.517198,0.517198,0.517198,0.517198,0.517198,1381631
1970-01-26,0.517198,0.517198,0.510823,0.517198,0.517198,1381631
1970-01-27,0.510823,0.510823,0.510823,0.510823,0.510823,751770
1970-01-28,0.502879,0.502879,0.481942,0.481942,0.481942,2113081
1970-01-29,0.481942,0.481942,0.453572,0.46784,0.46784,5059198
1970-01-30,0.46784,0.46784,0.453572,0.46784,0.46784,3962025
1970-02-02,0.46784,0.488954,0.46784,0.488954,0.488954,2275622
1970-02-03,0.488954,0.510823,0.481942,0.481942,0.481942,3799473
1970-02-04,0.481942,0.481942,0.460917,0.460917,0.460917,3941707
1970-02-05,0.460917,0.481942,0.460917,0.481942,0.481942,2661665
1970-02-06,0.481942,0.481942,0.47496,0.481942,0.481942,995583
1970-02-09,0.488954,0.502879,0.488954,0.502879,0.502879,2377213
1970-02-10,0.510823,0.517198,0.510823,0.510823,0.510823,3535346
1970-02-11,0.510823,0.510823,0.502879,0.502879,0.502879,3149301
1970-02-12,0.502879,0.502879,0.481942,0.488954,0.488954,4754424
1970-02-13,0.488954,0.488954,0.46784,0.47496,0.47496,2174033
1970-02-16,0.47496,0.481942,0.47496,0.47496,0.47496,1158129
1970-02-17,0.47496,0.47496,0.460917,0.46784,0.46784,2702300
1970-02-18,0.46784,0.47496,0.46784,0.46784,0.46784,1239402
1970-02-19,0.46784,0.46784,0.46784,0.46784,0.46784,812726
1970-02-20,0.46784,0.46784,0.453572,0.460917,0.460917,1970851
1970-02-24,0.460917,0.460917,0.446649,0.446649,0.446649,5282697
1970-02-25,0.446649,0.46784,0.446649,0.46784,0.46784,3982339
1970-02-26,0.460917,0.460917,0.453572,0.453572,0.453572,1909895
1970-02-27,0.460917,0.46784,0.460917,0.46784,0.46784,2295940
1970-03-02,0.46784,0.47496,0.46784,0.46784,0.46784,1483215
1970-03-03,0.46784,0.46784,0.460917,0.46784,0.46784,2072441
1970-03-04,0.46784,0.47496,0.46784,0.46784,0.46784,1036224
1970-03-05,0.46784,0.47496,0.46784,0.46784,0.46784,1259720
1970-03-06,0.46784,0.46784,0.460917,0.460917,0.460917,1280038
1970-03-09,0.460917,0.460917,0.460917,0.460917,0.460917,386043
1970-03-10,0.460917,0.460917,0.453572,0.453572,0.453572,1909895
1970-03-11,0.453572,0.460917,0.453572,0.460917,0.460917,609543
1970-03-12,0.460917,0.460917,0.460917,0.460917,0.460917,548585
1970-03-13,0.460917,0.460917,0.453572,0.453572,0.453572,1889579
1970-03-16,0.453572,0.453572,0.446649,0.446649,0.446649,1137810
1970-03-17,0.446649,0.453572,0.446649,0.446649,0.446649,1787991
1970-03-18,0.446649,0.453572,0.446649,0.453572,0.453572,1056539
1970-03-19,0.453572,0.453572,0.453572,0.453572,0.453572,1584807
1970-03-20,0.453572,0.453572,0.446649,0.453572,0.453572,731453
1970-03-23,0.453572,0.453572,0.446649,0.446649,0.446649,304767
1970-03-24,0.446649,0.446649,0.439215,0.446649,0.446649,2356893
1970-03-25,0.453572,0.46784,0.453572,0.460917,0.460917,3210253
1970-03-26,0.460917,0.460917,0.460917,0.460917,0.460917,1320677
1970-03-30,0.460917,0.460917,0.460917,0.460917,0.460917,1930214
1970-03-31,0.453572,0.453572,0.453572,0.453572,0.453572,954954
1970-04-01,0.453572,0.453572,0.453572,0.453572,0.453572,1158129
