Date,Open,High,Low,Close,Adj Close,Volume
1980-06-12,2.57666,2.57666,2.50168,2.57033,2.57033,11061551
1980-06-13,2.55157,2.55157,2.4831,2.48913,2.48913,7492479
1980-06-16,2.48913,2.52054,2.48913,2.50168,2.50168,5348441
1980-06-17,2.50168,2.52054,2.49575,2.50168,2.50168,6579517
1980-06-18,2.50168,2.59523,2.48913,2.55769,2.55769,8524407
1980-06-19,2.55769,2.57666,2.52054,2.52054,2.52054,7352816
1980-06-20,2.52054,2.53289,2.50168,2.51422,2.51422,6284682
1980-06-23,2.52054,2.56392,2.52054,2.55157,2.55157,5609658
1980-06-24,2.55157,2.55157,2.52054,2.53902,2.53902,4691523
1980-06-25,2.53902,2.57033,2.53902,2.55769,2.55769,7745935
1980-06-26,2.55769,2.60156,2.55769,2.56392,2.56392,9129597
1980-06-27,2.56392,2.57033,2.53902,2.54524,2.54524,5767421
1980-06-30,2.53902,2.53902,2.46452,2.46452,2.46452,8676996
1980-07-01,2.47697,2.50819,2.47697,2.49575,2.49575,7169191
1980-07-02,2.49575,2.51422,2.49575,2.50168,2.50168,7536440
1980-07-03,2.52054,2.57033,2.52054,2.57033,2.57033,5565690
1980-07-07,2.57033,2.57666,2.55769,2.57033,2.57033,6941593
1980-07-08,2.57033,2.57033,2.53902,2.53902,2.53902,6111396
1980-07-09,2.53902,2.58901,2.52686,2.53289,2.53289,5687245
1980-07-10,2.52686,2.52686,2.49575,2.49575,2.49575,8483024
1980-07-11,2.49575,2.53902,2.4831,2.53902,2.53902,5943287
1980-07-14,2.53902,2.61351,2.53902,2.59523,2.59523,4877742
1980-07-15,2.59523,2.61351,2.57666,2.58268,2.58268,5845013
1980-07-16,2.58268,2.60758,2.57666,2.58268,2.58268,8020079
1980-07-17,2.59523,2.6886,2.59523,2.63851,2.63851,7195054
1980-07-18,2.63851,2.63851,2.60156,2.61351,2.61351,8713199
1980-07-21,2.62013,2.68227,2.62013,2.68227,2.68227,7479545
1980-07-22,2.68227,2.70698,2.66992,2.66992,2.66992,7624372
1980-07-23,2.66992,2.6886,2.6636,2.6886,2.6886,5488098
1980-07-24,2.6886,2.6886,2.65115,2.65718,2.65718,9269257
1980-07-25,2.65718,2.65718,2.62646,2.62646,2.62646,5832080
1980-07-28,2.62646,2.6636,2.61351,2.6636,2.6636,5056194
1980-07-29,2.6636,2.6886,2.6636,2.6886,2.6886,5697595
1980-07-30,2.68227,2.68227,2.63238,2.63238,2.63238,11154662
1980-07-31,2.60758,2.60758,2.56392,2.59523,2.59523,17990217
1980-08-01,2.59523,2.63851,2.58268,2.62013,2.62013,13112477
1980-08-04,2.62013,2.62646,2.58901,2.60758,2.60758,13492662
1980-08-05,2.60758,2.62013,2.60156,2.61351,2.61351,8379571
1980-08-06,2.61351,2.63851,2.61351,2.63851,2.63851,7355399
1980-08-07,2.60156,2.60156,2.58268,2.60156,2.60156,12150380
1980-08-08,2.60156,2.62013,2.58901,2.59523,2.59523,6201920
1980-08-11,2.59523,2.63238,2.59523,2.63238,2.63238,9794270
1980-08-12,2.63238,2.63851,2.61351,2.61351,2.61351,5801043
1980-08-13,2.61351,2.63238,2.60758,2.61351,2.61351,6176054
1980-08-14,2.61351,2.6636,2.61351,2.6636,2.6636,5400163
1980-08-15,2.6636,2.6886,2.65115,2.6886,2.6886,9765819
1980-08-18,2.66992,2.66992,2.62013,2.62013,2.62013,9108907
1980-08-19,2.62013,2.63851,2.60758,2.60758,2.60758,4510485
1980-08-20,2.60758,2.64492,2.60758,2.64492,2.64492,4396688
1980-08-21,2.64492,2.66992,2.63851,2.66992,2.66992,4414792
1980-08-22,2.67605,2.70698,2.67605,2.6886,2.6886,6794181
1980-08-25,2.6886,2.6886,2.6636,2.67605,2.67605,4451006
1980-08-26,2.67605,2.70085,2.66992,2.67605,2.67605,4564800
1980-08-27,2.67605,2.67605,2.65115,2.6636,2.6636,6385545
